amount_usd,amount_src,fee,exchange_rate_src_to_dest,new_device,location_mismatch,ip_risk_score,account_age_days,device_trust_score,chargeback_history(count),risk_score(internal),txn_velocity_1h,txn_velocity_24h,corridor_risk,transaction_year,home_country_CA,home_country_UK,home_country_US,source_currency_CAD,source_currency_GBP,source_currency_USD,dest_currency_CAD,dest_currency_CNY,dest_currency_EUR,dest_currency_GBP,dest_currency_INR,dest_currency_MXN,dest_currency_NGN,dest_currency_PHP,dest_currency_USD,channel_ATM,channel_mobile,channel_web,ip_country_CA,ip_country_UK,ip_country_UNKNOWN_MISMATCH,ip_country_US,kyc_tier_enhanced,kyc_tier_low,kyc_tier_standard,is_fraud
278.19,278.19,4.25,1.351351,0,0,0.123,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
154.29,208.51,4.24,12.758621,1,0,0.569,947,0.475,0,0.268,0,1,0.0,2022,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
160.33,160.33,2.7,7.142857,0,0,0.437,367,0.939,0,0.176,0,0,0.0,2022,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
59.41,59.41,2.22,0.925926,0,0,0.594,147,0.551,0,0.391,0,0,0.0,2022,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
200.96,200.96,3.61,83.333333,0,0,0.121,257,0.894,0,0.257,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
526.9,526.9,8.75,0.8,0,0,0.094,616,0.702,0,0.361,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
110.44,149.24,2.33,0.592,0,0,0.299,947,0.625,0,0.268,0,0,0.0,2022,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
204.62,276.51,5.59,61.666667,0,0,0.087,1041,0.867,0,0.245,0,1,0.12,2022,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
99.52,99.52,2.41,0.925926,0,0,0.182,367,0.939,0,0.176,0,0,0.0,2022,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
302.55,302.55,5.26,58.823529,0,0,0.413,1016,0.944,0,0.247,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
187.84,187.84,3.14,1111.111111,0,0,0.318,257,0.894,0,0.257,0,0,0.25,2022,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
9998.43,9998.43,151.63,1.0,0,0,0.254,1018,0.934,0,0.087,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
171.86,171.86,2.96,7.142857,0,0,0.109,298,0.336,0,0.166,0,0,0.0,2022,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
402.8,322.24,5.84,1.157407,0,0,0.245,4,0.892,0,0.407,0,0,0.05,2022,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
87.81,87.81,2.4,83.333333,1,0,0.151,147,0.401,0,0.391,0,1,0.0,2022,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
9991.85,9991.85,151.39,1.351351,0,0,0.423,257,0.894,0,0.257,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
309.39,309.39,5.54,0.8,0,0,0.329,1016,0.944,0,0.247,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
