iter	Passed	Remaining
0	10	10392
1	20	10036
2	30	10176
3	39	9913
4	51	10158
5	61	10179
6	69	9885
7	80	9969
8	89	9890
9	101	10071
10	112	10117
11	120	9950
12	130	9914
13	138	9761
14	148	9754
15	157	9708
16	166	9643
17	178	9735
18	186	9640
19	197	9698
20	207	9684
21	216	9603
22	225	9592
23	233	9512
24	243	9497
25	251	9428
26	262	9469
27	272	9458
28	282	9465
29	292	9471
30	301	9420
31	311	9427
32	321	9415
33	335	9523
34	345	9539
35	355	9523
36	364	9474
37	373	9467
38	382	9413
39	392	9420
40	400	9370
41	411	9388
42	421	9376
43	429	9340
44	440	9339
45	448	9305
46	459	9313
47	469	9316
48	479	9301
49	491	9341
50	501	9339
51	511	9322
52	521	9325
53	530	9286
54	539	9276
55	547	9237
56	557	9225
57	566	9207
58	575	9183
59	585	9168
60	593	9140
61	603	9135
62	612	9104
63	621	9091
64	629	9059
65	640	9062
66	649	9048
67	658	9023
68	667	9011
69	676	8981
70	685	8971
71	694	8945
72	704	8942
73	713	8924
74	722	8913
75	733	8914
76	741	8888
77	751	8878
78	759	8850
79	769	8853
80	777	8825
81	787	8820
82	797	8808
83	805	8785
84	815	8774
85	823	8751
86	833	8752
87	842	8727
88	852	8726
89	862	8718
90	870	8698
91	881	8702
92	890	8686
93	902	8698
94	912	8697
95	921	8674
96	931	8667
97	939	8645
98	949	8640
99	957	8618
100	968	8620
101	979	8621
102	988	8608
103	999	8610
104	1009	8605
105	1019	8599
106	1030	8599
107	1039	8586
108	1050	8590
109	1060	8584
110	1069	8568
111	1081	8575
112	1091	8565
113	1101	8558
114	1111	8554
115	1120	8539
116	1131	8537
117	1143	8546
118	1152	8530
119	1162	8527
120	1173	8522
121	1183	8515
122	1196	8528
123	1208	8534
124	1218	8526
125	1230	8537
126	1243	8546
127	1263	8606
128	1294	8740
129	1318	8821
130	1342	8903
131	1353	8898
132	1371	8938
133	1380	8920
134	1390	8912
135	1400	8895
136	1411	8890
137	1422	8885
138	1437	8907
139	1447	8892
140	1457	8877
141	1465	8852
142	1476	8847
143	1486	8838
144	1495	8816
145	1505	8805
146	1513	8782
147	1524	8776
148	1534	8764
149	1542	8742
150	1553	8734
151	1561	8713
152	1573	8711
153	1584	8702
154	1592	8681
155	1602	8668
156	1610	8647
157	1620	8636
158	1629	8616
159	1638	8602
160	1647	8587
161	1656	8568
162	1666	8555
163	1674	8537
164	1685	8528
165	1693	8507
166	1705	8505
167	1717	8504
168	1726	8490
169	1736	8480
170	1746	8468
171	1755	8451
172	1765	8438
173	1773	8418
174	1783	8405
175	1790	8384
176	1800	8372
177	1809	8354
178	1819	8344
179	1829	8333
180	1837	8314
181	1847	8303
182	1855	8285
183	1865	8275
184	1874	8256
185	1884	8246
186	1894	8234
187	1903	8219
188	1913	8208
189	1921	8191
190	1931	8182
191	1940	8165
192	1950	8157
193	1960	8146
194	1969	8130
195	1979	8120
196	1988	8104
197	1998	8094
198	2007	8080
199	2016	8064
200	2026	8054
201	2035	8039
202	2045	8029
203	2053	8012
204	2063	8002
205	2071	7985
206	2081	7975
207	2092	7966
208	2100	7950
209	2111	7941
210	2120	7929
211	2130	7920
212	2141	7911
213	2149	7894
214	2159	7883
215	2167	7866
216	2178	7859
217	2187	7845
218	2196	7832
219	2206	7821
220	2214	7805
221	2224	7794
222	2232	7777
223	2242	7768
224	2250	7751
225	2260	7743
226	2270	7732
227	2279	7717
228	2289	7708
229	2297	7692
230	2307	7683
231	2316	7666
232	2326	7657
233	2335	7644
234	2343	7630
235	2354	7620
236	2362	7605
237	2372	7596
238	2381	7582
239	2391	7571
240	2399	7558
241	2408	7545
242	2418	7535
243	2427	7520
244	2436	7509
245	2445	7494
246	2455	7485
