transaction_id,customer_id,timestamp,home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,exchange_rate_src_to_dest,device_id,new_device,ip_address,ip_country,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,is_fraud,amount_src_original,amount_src_clean,amount_src_negative_flag,amount_src_corrected,amount_src_was_corrected,source_to_usd_rate,amount_usd_clean,amount_usd_was_imputed,fee_original,fee_was_missing,fee_was_invalid,fee_clean,fee_was_imputed,ip_country_original,home_country_clean,ip_country_clean,ip_country_was_missing,ip_country_treatment,kyc_tier_original,kyc_tier_clean,kyc_tier_was_missing,kyc_tier_treatment,kyc_tier_was_imputed,timestamp_original,timestamp_clean,timestamp_was_missing,timestamp_was_invalid,timestamp_unusable_flag
d36a0593-5a44-4174-a5ed-cc7317bc8524,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,2025/13/40 25:61:00,US,USD,PHP,mobile,165.91,165.91,3.46,58.823529,afdb5305-32ba-43d8-857b-7240ba5b11a1,False,190.205.8.68,US,False,0.424,enhanced,367,0.939,0,0.176,0,0,0.1,0,165.91,165.91,False,165.91,False,1.0,165.91,False,3.46,False,False,3.46,False,US,US,US,False,ORIGINAL,enhanced,enhanced,False,original_or_standardized,False,2025/13/40 25:61:00,,False,True,True
e6ef7b85-c19f-43fa-befa-743e37c62583,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,,US,USD,PHP,mobile,248.92,248.92,5.56,58.823529,a662fddf-fd9e-4b0d-9dd7-4b5371532e31,False,239.110.89.38,US,False,0.197,enhanced,367,0.939,0,0.176,0,0,0.1,0,248.92,248.92,False,248.92,False,1.0,248.92,False,5.56,False,False,5.56,False,US,US,US,False,ORIGINAL,enhanced,enhanced,False,original_or_standardized,False,,,True,False,True
2b64ca36-f140-4de4-9cc8-c678255402a9,d71c91b4-fee8-4104-9856-a5c6109a62e3,,US,USD,CNY,web,75.44,75.44,1.31,7.142857,2359adc2-91bf-4f51-80e8-3602dad715fe,False,29.203.81.123,US,False,0.353,standard,298,0.336,0,0.166,0,0,0.0,0,75.44,75.44,False,75.44,False,1.0,75.44,False,1.31,False,False,1.31,False,US,US,US,False,ORIGINAL,standard,standard,False,original_or_standardized,False,,,True,False,True
7f3f5c09-b75c-4355-aca4-d70e169d6df6,140d2232-ee97-4934-81aa-9e5c323d7c6f,0000-00-00T00:00:00Z,CA,CAD,USD,mobile,23.02,17.04,0.5,0.74,9849347e-5774-4f24-ac70-de0c98536adf,False,229.37.253.159,CA,False,0.554,low,824,0.607,0,0.282,0,0,0.0,0,23.02,23.02,False,23.02,False,0.74,17.04,False,0.5,False,False,0.5,False,CA,CA,CA,False,ORIGINAL,low,low,False,original_or_standardized,False,0000-00-00T00:00:00Z,,False,True,True
b371fb34-0744-4b90-b33d-237b95b0cd52,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,,US,USD,INR,mobile,251.95,251.95,5.68,83.333333,5486e34e-7cc6-40ec-ab8b-f400b88995cf,False,125.169.206.159,US,False,0.424,enhanced,367,0.939,0,0.176,0,0,0.0,0,251.95,251.95,False,251.95,False,1.0,251.95,False,5.68,False,False,5.68,False,US,US,US,False,ORIGINAL,enhanced,enhanced,False,original_or_standardized,False,,,True,False,True
3e96cacd-3722-469f-95c1-6dce5ba73aa6,7bd5200c-5d19-44f0-9afe-8b339a05366b,,US,USD,GBP,web,51.22,51.22,1.23,0.8,e7231b69-1523-44a8-b913-f7f19e58e691,True,74.241.80.79,UK,True,0.569,standard,147,0.401,0,0.391,0,1,0.0,0,51.22,51.22,False,51.22,False,1.0,51.22,False,1.23,False,False,1.23,False,UK,US,UK,False,ORIGINAL,standard,standard,False,original_or_standardized,False,,,True,False,True
c646535b-dd51-4d09-b155-e603bbafdc7e,70a93d26-8e3a-4179-900c-a4a7a74d08e5,,US,USD,USD,mobile,9993.44,9993.44,150.77,1.0,80c7bfef-2d73-4b64-a706-834920153d03,False,155.197.197.82,US,False,0.398,enhanced,257,0.894,0,0.257,0,1,0.0,0,9993.44,9993.44,False,9993.44,False,1.0,9993.44,False,150.77,False,False,150.77,False,US,US,US,False,ORIGINAL,enhanced,enhanced,False,original_or_standardized,False,,,True,False,True
f340c84f-8021-483c-9a7e-b1fae29a3859,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,,US,USD,GBP,web,165.8,165.8,3.62,0.8,4bd9d1b2-8e3e-4761-8a7d-a9392095e731,False,170.244.155.191,US,False,0.337,enhanced,367,0.939,0,0.176,0,0,0.0,0,165.8,165.8,False,165.8,False,1.0,165.8,False,3.62,False,False,3.62,False,US,US,US,False,ORIGINAL,enhanced,enhanced,False,original_or_standardized,False,,,True,False,True
fcf3662d-6acd-4303-902f-0a46cefda734,7bd5200c-5d19-44f0-9afe-8b339a05366b,,US,USD,GBP,mobile,90.11,90.11,2.42,0.8,03babe2c-1ce9-46dc-aba1-e562d49294e8,False,190.127.93.223,US,False,0.268,standard,147,0.551,0,0.391,0,0,0.0,0,90.11,90.11,False,90.11,False,1.0,90.11,False,2.42,False,False,2.42,False,US,US,US,False,ORIGINAL,standard,standard,False,original_or_standardized,False,,,True,False,True
c99dc8d7-24b9-4527-93dc-29cb6711bbe6,7041b9c1-3719-4ca8-9a6b-811b47cea6c0,,UK,GBP,PHP,web,41.1,51.37,2.13,73.529412,45f785dd-06af-4662-9d74-1916a57f0e4d,False,198.21.107.248,UK,False,0.234,standard,4,0.892,0,0.407,0,0,0.0,1,41.1,41.1,False,41.1,False,1.25,51.37,False,2.13,False,False,2.13,False,UK,UK,UK,False,ORIGINAL,standard,standard,False,original_or_standardized,False,,,True,False,True
